Date,low,high,open,close,volume
2021-12-09,3889.42,4232.38,4105.99,3900.91,273780.7217072
2021-12-10,3835.0,4099.87,3899.97,4091.18,166327.13830459
2021-12-11,3989.41,4186.16,4091.17,4132.92,108368.85746466
2021-12-12,3660.0,4146.1,4132.91,3783.81,305712.33000025
2021-12-13,3686.49,3884.08,3784.0,3860.74,197099.24204846
2021-12-14,3643.43,4097.0,3860.72,4021.53,319094.24570016
2021-12-15,3952.81,4116.39,4021.41,3957.28,174285.93324831
2021-12-16,3699.0,3994.81,3957.12,3876.02,209823.26509135
2021-12-17,3768.14,3999.0,3876.37,3961.92,113485.77521903
2021-12-18,3886.03,4039.73,3961.93,3925.79,102078.81232557
2021-12-19,3754.8,3984.08,3925.78,3946.16,172027.91571974
2021-12-20,3908.13,4063.89,3946.59,4017.11,137991.50149241
2021-12-21,3933.74,4075.0,4017.35,3981.12,110316.26044274
2021-12-22,3895.7,4157.82,3980.82,4113.08,180980.07790929
2021-12-23,4005.0,4138.71,4113.64,4049.65,109472.89747679
2021-12-24,4021.31,4143.13,4049.81,4097.43,68854.05530395
2021-12-25,4008.01,4106.5,4098.67,4065.91,66848.08372392
2021-12-26,4027.56,4128.9,4066.14,4038.64,108344.57109844
2021-12-27,3760.01,4038.68,4038.18,3793.67,203399.82203323
2021-12-28,3603.0,3828.18,3793.66,3630.59,167709.4231065
2021-12-29,3585.85,3769.99,3630.18,3710.02,155011.95096414
2021-12-30,3619.78,3815.04,3710.01,3675.8,171634.96154996
2021-12-31,3674.02,3777.82,3675.81,3765.72,98353.62552826
2022-01-01,3718.2,3855.77,3765.98,3828.87,78466.35113548
2022-01-02,3681.62,3851.66,3828.93,3766.04,106574.13357834
2022-01-03,3714.22,3894.12,3766.01,3785.0,148752.52638971
2022-01-04,3414.88,3848.2,3785.0,3539.0,240345.13859808
2022-01-05,3300.0,3550.02,3539.0,3406.03,282771.63777278
2022-01-06,3065.0,3415.52,3405.66,3198.82,376752.15627171
2022-01-07,3000.0,3247.89,3198.96,3080.48,231676.12058726
2022-01-08,3057.82,3212.46,3080.92,3151.66,131897.75381912
2022-01-09,2928.69,3180.29,3151.65,3083.51,260769.14044553
2022-01-10,3052.19,3265.98,3083.51,3240.83,158466.70742447
2022-01-11,3206.72,3420.08,3240.83,3373.64,165432.46044549
2022-01-12,3233.67,3413.36,3373.25,3241.88,130378.3015897
2022-01-13,3188.34,3346.81,3241.6,3310.45,110175.14720879
2022-01-14,3260.0,3373.56,3309.98,3328.12,58794.17252061
2022-01-15,3275.0,3394.45,3327.81,3349.46,58643.37423357
2022-01-16,3142.39,3360.07,3349.88,3210.98,128212.72032287
2022-01-17,3083.68,3246.2,3211.08,3160.81,151969.48482665
2022-01-18,3047.0,3176.81,3160.78,3085.27,159240.24960598
2022-01-19,2986.0,3273.32,3084.49,3000.94,185761.37491937
2022-01-20,2467.11,3034.7,3000.99,2569.01,603711.8291189
2022-01-21,2301.6,2628.36,2568.12,2411.9,457765.04354891
2022-01-22,2371.58,2551.3,2411.91,2541.19,248046.68461556
2022-01-23,2159.0,2541.74,2541.19,2441.74,583901.18061678
2022-01-24,2351.18,2509.87,2441.6,2460.68,268705.41724115
2022-01-25,2400.0,2724.0,2460.4,2465.0,409131.34465566
2022-01-26,2315.72,2521.96,2464.99,2425.82,272971.5127865
2022-01-27,2358.63,2559.55,2425.01,2546.84,231189.51401633
2022-01-28,2521.72,2640.0,2546.84,2603.74,138968.35714717
2022-01-29,2542.66,2642.0,2603.39,2602.89,103353.36641229
2022-01-30,2478.31,2708.98,2602.63,2689.72,193802.14585439
2022-01-31,2675.99,2815.49,2689.87,2789.66,212782.90255881
2022-02-01,2613.42,2814.1,2789.62,2682.66,256394.56721487
2022-02-02,2572.66,2729.01,2683.09,2697.59,197429.85205996
2022-02-03,2672.84,2999.0,2697.59,2998.19,275254.72885163
2022-02-04,2957.98,3063.48,2997.63,3014.5,159547.93620619
2022-02-05,2950.26,3076.25,3014.83,3058.22,80118.01843273
2022-02-06,2995.22,3199.08,3058.21,3141.89,232464.2844524
